URL,Category,Traffic (%),Number of Keywords,Traffic,,,,,,,,,,,,
https://www.muthootfinance.com/gold-rate-today,Informational Page,53.19,9990,1276570,0,689,2925,630,1468,0,54140,1095432,24199,128967,0,-748882
https://www.muthootfinance.com/,Non-Blog Page,15.84,5679,380366,,,,,,,,,,,,
https://www.muthootfinance.com/personal-loan,Informational Page,4.69,3684,112585,0,636,871,109,171,0,80482,52249,12856,2600,0,7149
https://online.muthootfinance.com/,Informational Page,3.19,567,76642,0,26,114,115,79,0,2231,52926,21422,41414,0,-6910
https://www.muthootfinance.com/gold-loan,Informational Page,3.04,1706,73096,0,113,176,127,136,0,16574,4973,55619,2873,0,-189136
http://www.muthootfinance.com/,Informational Page,1.23,71,29681,0,13,2,39,35,0,1581,65,25252,8628,0,7189
https://www.muthootfinance.com/careers,Informational Page,1.13,6781,27122,0,275,44,71,102,0,26343,421,9,428,0,-509
https://www.muthootfinance.com/gold-loan/gold-loan-per-gram,Informational Page,1.12,4533,26961,0,105,706,256,239,0,1447,21467,4384,1362,0,-1668
https://www.muthootfinance.com/gold-loan/interest-rate,Informational Page,1.06,2340,25644,0,63,285,63,73,0,803,23471,1298,1744,0,9955
https://www.muthootfinance.com/blog/will-gold-rates-decrease-in-coming-days,Blog,0.74,269,17763,0,22,101,14,23,0,89,17544,97,34,0,12602
https://www.muthootfinance.com/gold-loan/calculator,Informational Page,0.69,2609,16578,0,26,248,71,74,0,55,13441,2821,3059,0,4360
https://www.muthootfinance.com/general-queries,Informational Page,0.67,1041,16303,0,30,113,67,102,0,96,15133,673,499,0,956
https://www.muthootfinance.com/user/login,Informational Page,0.56,28,13643,0,3,3,15,14,0,503,39,12877,13093,0,-12
https://online.muthootfinance.com/quickpay,Informational Page,0.48,9,11730,0,0,5,0,2,0,0,11730,0,5040,0,10951
https://www.muthootfinance.com/blog/1-pavan-gold-in-grams,Blog,0.47,530,11471,0,30,474,12,39,0,301,9973,368,1247,0,2061
https://www.muthootfinance.com/personal-loan/emi-calculator,Informational Page,0.26,753,6449,0,51,193,17,16,0,126,3062,248,250,0,-403
https://www.muthootfinance.com/cibil-credit-score,Informational Page,0.25,1153,6083,0,65,386,48,87,0,483,2063,3661,447,0,1980
https://www.muthootfinance.com/customer-service,Informational Page,0.25,2930,6051,0,50,158,107,134,0,321,4130,1981,1448,0,695
https://branches.muthootfinance.com/gold-loan-agency-in-santosh-nagar-hyderabad-11504304/home,Informational Page,0.24,4,5953,0,1,0,2,1,0,1,0,5952,800,0,5152
https://www.muthootfinance.com/branch-locator,Informational Page,0.23,4853,5559,0,105,93,183,281,0,671,413,1387,3539,0,83
https://www.muthootfinance.com/share-price-today,Informational Page,0.16,136,3957,0,12,70,10,18,0,29,3840,56,62,0,-2887
https://branches.muthootfinance.com/gold-loan-agency-in-bengaluru-bengaluru-11471466/home,Informational Page,0.16,21,3941,0,2,0,5,1,0,3454,0,3931,0,0,3933
https://www.muthootfinance.com/blog/what-is-an-nbfc-meaning-types-features-and-regulations-explained,Blog,0.16,219,3895,0,6,113,2,1,0,10,3886,0,1,0,-531
https://www.muthootfinance.com/vehicle-loan,Informational Page,0.15,268,3683,0,28,77,10,13,0,31,2945,653,637,0,233
https://www.muthootfinance.com/personal-loan/tracking,Informational Page,0.14,1007,3556,0,22,224,103,74,0,130,1835,822,1063,0,1179
https://www.muthootfinance.com/blog/financial-leverage-types-formula-examples,Blog,0.14,43,3549,0,0,27,0,0,0,0,3544,0,0,0,-8160
https://branches.muthootfinance.com/gold-loan-agency-in-tapsil-society-suraj-11479693/home,Informational Page,0.13,19,3149,0,0,0,2,5,0,0,0,769,3149,0,2353
https://career.muthootfinance.com/,Informational Page,0.12,9,3076,0,7,0,0,1,0,3068,0,0,8,0,-120
https://www.muthootfinance.com/blog/can-we-buy-gold-on-emi,Blog,0.11,69,2832,0,11,13,8,19,0,160,94,2470,109,0,2820
https://www.muthootfinance.com/blog/how-to-get-personal-loan-without-cibil-and-income-proof,Blog,0.11,379,2661,0,110,88,1,7,0,2160,1110,0,46,0,-31
https://www.muthootfinance.com/pan-card/form-49a,Informational Page,0.11,76,2657,0,11,52,0,7,0,384,2655,0,137,0,-2092
https://www.muthootfinance.com/blog/what-is-a-post-dated-cheque,Blog,0.11,54,2657,0,2,49,0,0,0,3,2654,0,0,0,-767
https://www.muthootfinance.com/blog/difference-between-debit-note-and-credit-note,Blog,0.1,37,2568,0,0,18,1,0,0,0,2568,0,0,0,2568
https://branches.muthootfinance.com/gold-loan-agency-in-ramaswamipalya-bangalore-11191503/home,Informational Page,0.1,6,2543,0,2,0,2,4,0,144,0,475,2399,0,2464
https://branches.muthootfinance.com/gold-loan-agency-in-battala-bazar-warangal-11473476/home,Informational Page,0.1,4,2515,0,2,0,2,1,0,2466,0,2509,49,0,0
https://branches.muthootfinance.com/gold-loan-agency-in-koradi-colony-nagpur-11479607/home,Informational Page,0.1,8,2473,0,4,0,3,1,0,2469,0,2463,1,0,495
https://www.muthootfinance.com/blog/what-is-financial-leverage-types-risks,Blog,0.1,10,2406,0,0,5,0,0,0,0,2400,0,0,0,2406
https://www.muthootfinance.com/blog/forgot-your-pan-card-number-heres-how-you-can-find-it-by-name,Blog,0.09,299,2311,0,25,235,1,12,0,69,2274,0,392,0,-91
https://www.muthootfinance.com/blog/what-is-cif-number-cif-number-meaning-full-form-and-how-to-get-it,Blog,0.09,258,2217,0,2,193,1,1,0,2,2137,0,0,0,276
https://www.muthootfinance.com/blog/how-to-do-pan-verification-in-few-easy-steps,Blog,0.09,79,2205,0,7,60,1,3,0,13,2146,1,9,0,1689
https://www.muthootfinance.com/small-business-loan,Informational Page,0.09,268,2188,0,38,122,7,3,0,320,1469,584,121,0,-295
https://www.muthootfinance.com/blog/hallmark-gold-vs-kdm-gold-vs-916-gold-a-comprehensive-comparison,Blog,0.08,174,2138,0,7,105,7,13,0,24,1938,178,189,0,-469
https://www.muthootfinance.com/blog/what-is-1-bhori-gold-understanding-its-weight-price-and-role-in-gold-loans,Blog,0.08,97,2118,0,4,83,8,10,0,25,1919,187,64,0,-1403
https://www.muthootfinance.com/ncd,Informational Page,0.08,154,1985,0,45,86,4,12,0,1074,1189,88,33,0,-131
https://www.online.muthootfinance.com/,Informational Page,0.08,5,1926,0,0,1,1,0,0,0,6,1920,0,0,-225
https://branches.muthootfinance.com/gold-loan-agency-in-hrs-layout-bangalore-11471184/home,Informational Page,0.08,9,1925,0,0,0,1,4,0,0,0,1920,1925,0,0
https://www.muthootfinance.com/blog/nach-vs-ecs-explained-key-differences,Blog,0.07,120,1909,0,0,86,0,3,0,0,1901,0,0,0,-167
https://www.muthootfinance.com/blog/pan-vs-tan-key-differences-you-should-know,Blog,0.07,113,1881,0,6,95,0,0,0,8,1881,0,0,0,-346
https://www.muthootfinance.com/gold-loan/eligibility,Informational Page,0.07,833,1816,0,26,61,31,34,0,18,1232,540,26,0,464
https://www.muthootfinance.com/gold-loan/schemes,Informational Page,0.07,1066,1807,0,33,49,42,42,0,103,1424,554,908,0,-268
https://branches.muthootfinance.com/gold-loan-agency-in-garden-reach-kolkata-11479238/home,Informational Page,0.07,41,1801,0,4,4,10,15,0,1040,2,54,747,0,-72841
https://branches.muthootfinance.com/gold-loan-agency-in-connaught-place-new-delhi-11479164/home,Informational Page,0.07,91,1758,0,2,1,2,4,0,27,5,1632,94,0,1474
https://www.muthootfinance.com/pan-card/fees,Informational Page,0.07,134,1726,0,5,127,0,4,0,44,1726,0,0,0,333
https://branches.muthootfinance.com/gold-loan-agency-in-sultan-bazar-hyderabad-11472021/home,Informational Page,0.07,5,1720,0,2,0,3,1,0,1608,0,1720,0,0,0
https://www.muthootfinance.com/our-directors,Informational Page,0.06,163,1622,0,4,93,5,13,0,0,1613,8,138,0,-19
https://www.muthootfinance.com/blog/importance-of-tola-in-gold-measurements-for-loan-valuation,Blog,0.06,104,1570,0,5,84,2,8,0,91,1524,0,2,0,895
https://branches.muthootfinance.com/,Informational Page,0.06,252,1536,0,7,4,34,52,0,89,2,281,1423,0,338
https://www.muthootfinance.com/personal-loan/procedure-and-eligibility,Informational Page,0.06,963,1506,0,20,118,18,10,0,55,1445,140,3,0,231
https://www.muthootfinance.com/financial-reports,Informational Page,0.06,25,1446,0,1,14,1,3,0,15,1445,1,205,0,107
