URL,Category,Traffic (%),Number of Keywords,Traffic,,,,,,,,,,,,
https://www.mahindrafinance.com/,Non-Blog,38.88,6811,102158,0,138,330,320,162,0,9942,2541,91148,2824,0,3882
https://vehicleloan.mahindrafinance.com/UI/QuickPay.aspx,Non-Blog,16.8,308,44157,0,18,50,22,18,0,8373,27012,11617,581,0,381
https://www.mahindrafinance.com/loans/car-loan,Informational Page,3.2,1526,8424,,,,,,,,,,,,
https://www.mahindrafinance.com/customer-service/mahindra-finance-mobile-app,Non-Blog,2.63,137,6924,0,0,37,14,6,0,0,6742,186,588,0,265
https://www.mahindrafinance.com/customer-service/payments/quick-pay,Non-Blog,2.55,579,6725,0,3,41,32,18,0,1,5963,869,377,0,-721
https://www.mahindrafinance.com/investment/fixed-deposit,Non-Blog,2.46,195,6466,0,12,43,18,11,0,1419,411,5700,181,0,-157
http://www.mahindrafinance.com/,Non-Blog,2.12,39,5572,0,13,2,32,6,0,1267,8,4766,286,0,1307
https://branch.mahindrafinance.com/drrajkumarrd-rajajinagar-bengaluru-karnataka-branch/,Non-Blog,2.06,8,5412,0,1,1,5,3,0,6,0,5402,5378,0,-138
https://www.mahindrafinance.com/investment/fixed-deposit/fd-calculator,Informational Page,1.86,314,4891,,,,,,,,,,,,
https://branch.mahindrafinance.com/swargate-pune-maharashtra-branch/,Non-Blog,1.62,26,4265,0,4,1,22,0,0,88,2,4190,0,0,2406
https://www.mahindrafinance.com/customer-service/dealer-mobile-app,Non-Blog,1.4,46,3687,0,4,7,14,11,0,213,1013,2410,2338,0,-390
https://www.mahindrafinance.com/careers,Informational Page,1.31,122,3447,,,,,,,,,,,,
https://www.mahindrafinance.com/loans/car-loan/emi-calculator,Informational Page,0.98,1368,2579,,,,,,,,,,,,
https://www.mahindrafinance.com/suvidha-loans,Non-Blog,0.88,61,2317,0,4,8,17,5,0,14,1107,2236,56,0,-786
https://fixeddeposit.mahindrafinance.com/,Non-Blog,0.88,45,2313,8,4,3,23,18,0,185,6,2145,1948,0,-37
https://www.mahindrafinance.com/loans/personal-loan,Non-Blog,0.8,305,2118,0,4,16,15,3,0,16,381,1516,197,0,-173
https://www.mahindrafinance.com/loans/used-car-loan/emi-calculator,Informational Page,0.8,347,2107,,,,,,,,,,,,
https://www.mahindrafinance.com/blogs/car-loan/mahindra-thar-mileage-review,Blogs,0.75,33,1988,0,1,25,2,7,0,40,1948,0,560,0,108
https://www.mahindrafinance.com/faq/is-the-monthly-interest-for-a-rs-20-lakh-fixed-deposit-taxable,Non-Blog,0.71,42,1872,0,2,40,0,0,0,4,1870,0,0,0,-13
https://www.mahindrafinance.com/customer-care,Informational Page,0.65,2081,1730,,,,,,,,,,,,
https://www.mahindrafinance.com/loans/used-car-loan,Informational Page,0.64,300,1701,,,,,,,,,,,,
https://www.mahindrafinance.com/faq/what-is-mahindra-finance-customer-app,Non-Blog,0.6,23,1586,0,0,9,5,2,0,0,1586,0,3,0,846
https://www.mahindrafinance.com/insurance,Non-Blog,0.59,58,1551,0,21,4,1,1,0,1504,35,19,19,0,-87
https://vehicleloan.mahindrafinance.com/UI/QuickPay_MEMO.aspx,Non-Blog,0.58,26,1528,0,0,14,4,1,0,0,1342,251,8,0,13
https://www.mahindrafinance.com/investment/fixed-deposit/interest-rates,Non-Blog,0.57,109,1503,0,12,26,5,4,0,426,1036,234,1011,0,751
https://branch.mahindrafinance.com/bhagyanagar-aurangabad-maharashtra-branch/,Non-Blog,0.55,13,1450,0,0,0,9,2,0,0,0,1450,16,0,1220
https://branch.mahindrafinance.com/bodakdev-ahmedabad-gujarat-branch/,Non-Blog,0.45,9,1184,0,2,0,5,4,0,0,0,1181,1014,0,136
https://www.mahindrafinance.com/blogs/car-loan/vehicle-depreciation-rates-india,Blogs,0.41,19,1101,0,0,17,0,0,0,0,1101,0,0,0,1101
https://www.mahindrafinance.com/loans/home-loan,Informational Page,0.38,70,1019,,,,,,,,,,,,
